,40.0,60.0,20.0,80.0
2018-03-22,1661.4034603184223,1745.8522274233903,1768.2015505234936,1511.9523802024983
2018-03-23,1626.1320210594306,1617.4053295318877,1750.5669416556368,1400.7141035914499
2018-03-24,1606.4184853832471,1556.9200364817243,1740.709238166071,1348.3323032546534
2018-03-25,1641.1506528666146,1668.532289168644,1758.0767525993247,1444.9913494550751
2018-03-26,1652.6496334018248,1711.1399708962283,1763.824728660615,1481.8906842274162
2018-03-27,1695.3497391224737,1903.680645486202,1785.1727285431282,1648.6357996840902
2018-03-28,1645.112869076672,1682.8547174365547,1760.0567679227865,1457.3949361789344
2018-03-29,1701.1132235932184,1934.9418595912832,1788.0583487351585,1675.7088052522727
2018-03-30,1606.4184853832473,1556.9200364817243,1740.7092381660696,1348.3323032546534
2018-03-31,1518.0699626380463,1350.5554412887382,1696.5357695632624,1169.615321377072
2018-04-01,1595.343526711653,1525.7784898203427,1735.1722749346047,1321.362932732714
2018-04-02,1694.1555484155533,1897.366596100711,1784.5780603184264,1643.1676725154982
2018-04-03,1703.3150329946286,1947.3058311416967,1789.1597125617263,1686.4163187066235
2018-04-04,1704.3914716605364,1953.4584715315564,1789.695614843705,1691.744661584602
2018-04-05,1678.4294062616027,1819.8901065721468,1776.7146382593082,1576.0710643876437
2018-04-06,1566.74062551346,1453.2721699652798,1720.8692862377104,1258.5706178041817
2018-04-07,1535.9159379378734,1385.6406460531387,1705.4580917978603,1199.999999999998
2018-04-08,1566.7406255134586,1453.27216996528,1720.869286237709,1258.5706178041817
2018-04-09,1609.0497896691393,1564.6085772480667,1742.023281513142,1354.9907748763453
2018-04-10,1555.8619316974407,1428.285685706786,1715.4309394210036,1236.931687685298
2018-04-11,1589.455141464119,1509.9668870534022,1732.2272929241938,1307.6696830622018
2018-04-12,1643.147610360291,1675.708805251798,1759.0738165638497,1451.206394693739
2018-04-13,1637.0471865052366,1654.085850250303,1756.024377637326,1432.4803663575983
2018-04-14,1650.811624084354,1704.112672330873,1762.90540916437,1475.8048651498611
2018-04-15,1675.539924267002,1806.6543665015827,1775.2708234811464,1564.6085772486356
2018-04-16,1645.1128690766734,1682.8547174365544,1760.0567679233181,1457.3949361789344
2018-04-17,1681.238307394813,1833.0302779820965,1778.119632716621,1587.4507866387544
2018-04-18,1661.4034603184232,1745.8522274233908,1768.2015505234958,1511.9523802024983
2018-04-19,1676.9962208463473,1813.2843130626834,1775.9992429114686,1570.3502793962878
2018-04-20,1548.1709828918886,1411.382301148179,1711.584548541893,1222.292927247801
2018-04-21,1476.0780578595245,1277.4975538130418,1675.5398967491951,1106.3453348751389
2018-04-22,1580.1449138070668,1485.9340496794184,1727.5731275120577,1286.8566353716326
2018-04-23,1609.0497896691415,1564.608577248067,1742.0232815131437,1354.9907748763453
2018-04-24,1692.9414640661398,1891.0314645713413,1783.9707649804664,1637.6812876747417
2018-04-25,1696.5357984418156,1909.9738218097982,1785.7686816665007,1654.0858502508268
2018-04-26,1694.1555484155567,1897.366596100711,1784.5780603185638,1643.1676725154982
2018-04-27,1603.7345271020286,1549.1933384824165,1739.3689000141865,1341.6407864998732
2018-04-28,1487.4755883988953,1296.1481396804786,1681.2382795079761,1122.497216032176
2018-04-29,1522.7058608386587,1359.4116374352539,1698.8542020326147,1177.2850122209118
2018-04-30,1487.4755883988937,1296.1481396804784,1681.2382795079739,1122.497216032176
2018-05-01,1606.4184853832483,1556.9200364817248,1740.7092381660702,1348.3323032546532
2018-05-02,1671.0396553225223,1786.6169147299913,1773.0198511248557,1547.255634987315
2018-05-03,1652.649633401826,1711.1399708962283,1763.824728660736,1481.8906842274164
2018-05-04,1492.9341041327084,1305.3735097652182,1683.968065858685,1130.4866208850003
2018-05-05,1353.3317269225201,1117.139203485491,1614.165020516276,967.4709297958119
2018-05-06,1476.0780578595268,1277.4975538130413,1675.5398967491979,1106.345334875139
2018-05-07,1621.4794231234262,1602.4980499202302,1748.2399496700282,1387.8040207464446
2018-05-08,1661.4034603184214,1745.8522274233906,1768.2015505234958,1511.9523802024983
2018-05-09,1600.9940253805312,1541.4279094392773,1737.9982817662492,1334.9157276772187
2018-05-10,1527.2229036534243,1368.210510116991,1701.1131944175022,1184.9050594878872
2018-05-11,1552.0622311122067,1419.859147942031,1713.5306363446805,1229.6340919151512
2018-05-12,1630.6147596478236,1632.176461047697,1752.8071581786128,1413.5062787267693
2018-05-13,1535.9159379378743,1385.6406460531332,1705.4580917978599,1199.999999999998
2018-05-14,1592.4299990419477,1517.8932768801947,1733.7151205178352,1314.5341380123982
