Hotel,fecha,occ,habs_disp,tp,po,pt,te
CEINS,2018-06-22,0.647799,159,1322.5,0.993556,0.988508,856.714
CEINS,2018-06-23,0.572327,159,1213.41,1.0758,0.933349,694.468
CEINS,2018-06-24,0.610063,159,1215.85,0.909998,0.900936,741.743
CEINS,2018-06-25,0.63522,159,1652.17,0.902301,1.01549,1049.49
CEINS,2018-06-26,0.742138,159,1755.92,0.84719,1.07565,1303.13
CEINS,2018-06-27,0.754717,159,1723.56,0.846855,1.03474,1300.8
CEINS,2018-06-28,0.779874,159,1620.72,0.912774,0.991184,1263.96
CEINS,2018-06-29,0.559748,159,1258.61,1.10187,1.10254,704.503
CEINS,2018-06-30,0.433962,159,1224.67,1.29773,0.949586,531.46
CEINS,2018-07-01,0.553459,159,1359.32,1.45341,0.961994,752.328
CEINS,2018-07-02,0.528302,159,1576.68,0.944746,1.03438,832.964
CEINS,2018-07-03,0.685535,159,1640.2,1.00933,1.04154,1124.41
CEINS,2018-07-04,0.685535,159,1553.88,1.02502,0.985982,1065.24
CEINS,2018-07-05,0.628931,159,1535.1,0.937024,1.01555,965.47
CEINS,2018-07-06,0.553459,159,1347.09,1.10339,1.00802,745.561
CEINS,2018-07-07,0.408805,159,1283.76,1.17203,0.984244,524.808
CEINS,2018-07-08,0.698113,159,1369.44,1.20864,0.979523,956.027
CEINS,2018-07-09,0.880503,159,1705.61,1.13937,1.0963,1501.8
CEINS,2018-07-10,0.886792,159,1709.29,1.10079,1.05889,1515.78
CEINS,2018-07-11,1,159,1582.11,1.23031,1.00645,1582.11
CEINS,2018-07-12,0.924528,159,1512.2,1.19758,1.01412,1398.07
CEINS,2018-07-13,0.641509,159,1234.86,1.11065,0.949302,792.176
CEINS,2018-07-14,0.603774,159,1181.48,1.18666,0.9171,713.346
CEINS,2018-07-15,0.666667,159,1246.6,1.11857,0.894046,831.068
CEINS,2018-07-16,0.91195,159,1479.46,1.28083,0.969224,1349.19
CEINS,2018-07-17,0.955975,159,1509.99,1.1808,0.972073,1443.51
CEINS,2018-07-18,1,159,1521.73,1.15314,0.970545,1521.73
