"plaza","hotel","valor"
"CJTGZ","CJTGZ",3.8
"CJTIO","CJTIO",3.6
"CJTLC","CJTLC",2.7
"CJVER","CJVER",3.3
"CJVSA","CJVSA",4.2
"CPBOG","CPBOG",3.95
"CPMSJ","CPMSJ",4
"CPPST","CPPST",3.75
"CPSTM","CPSTM",4.2
"CSANZ","CSANZ",4.25
"CSCSL","CSCSL",4.75
"CSPAU","CSPAU",4.15
"CSPDC","CSPDC",4.4
"CSQRO","CSQRO",4.05
"CSSFE","CSSFE",4.5
"CSSIL","CSSIL",4.4
"CSSLP","CSSLP",4.8
"CSTIR","CSTIR",4.1
"CSTLC","CSTLC",3.95
"CCMEX","Gran Hotel",4.75
"CCMEX","Hampton",4.25
"CCMEX","Historico Central",4.75
"CCMEX","Zocalo Central",4.85
"CJSLI","CESLP",4.8
"CJSLI","Comfort Inn",4.3
"CJSLI","Ibis",4.35
"CJSLI","One",4.2
"CCMEX","CCMEX",4.05
"CJSLI","CJSLI",4.3
"CEINS","Royal Parroquia",0
"CELEO","One Antares",3.95
"CELRZ","Fairfield Inn",4.05
"CENLD","Hotel Hacienda",0
"CESJO","Ramada Plaza Herradura",1
"CESLP","CSSLP",0
"CESTL","City Express Plus Mundo E",4.45
"CETGZ","HOTEL QUALITY INN",0
"CETII","Lausana",0
"CETLC","Holiday Inn Tollocan ",0
"CJBOG","Estelar de la Feria",4.15
"CJBOG","San Pablo",2.75
"CJBOG","Tryp Bogota Embajada",4.35
"CJCJS","Extended Suites",2.85
"CJTIO","Gamma de Fiesta Inn",4.15
"CPBOG","Aloft",4.1
"CPBOG","Capital",4.3
"CPBOG","Habitel",4.05
"CPBOG","HI Aropuerto",4.5
"CSANZ","Windham Garden",4.35
"CSSLP","CJSLI",4.5
"CECEG","One",3.4
"CEEGD","One",2.55
"CEIRN","Hotsson",4.75
"CEIRN","Ibis",3.6
"CELRZ","Courtyard",4.4
"CEMTY","Sleep Inn",3.55
"CENLD","Camino Real",0
"CESLP","Country Inn",0
"CESLU","Camino real",4.55
"CESLU","NH",4.6
"CETXP","Holiday Inn Express",4.85
"CEZCL","Best Western",0
"CJMXL","One",2.8
"CSPAU","ENCORE",4.4
"CSSIL","Fiesta Inn",4.65
"CSSIL","Istay",4.45
"CSSLP","CESLP",4.75
"CJPAN","Villaflorida",4.3
"CJPAN","CJPAN",4.2
"CECEG","Hampton Inn",4.5
"CJSLP","NH",4.4
"CJSLP","Concordia",4.15
"CPPVT","CPPVT",4.2
"CPPVT","Comfort Inn",3.1
"CPPVT","Holiday Inn",4.25
"CPPVT","Fiesta Inn",4.5
"CECOA","Extended Suites",2.4
"CECOA","Extended Suites",2.4
"CEALT","Holiday Inn",3.95
"CEALT","Hampton Inn",4.1
"CEALT","CEALT",3.85
