"id","hotel_id","hotel_clave","fecha","eventos"
40197,1,"CEINS","2016-06-01",0
40196,1,"CEINS","2016-05-31",0
40195,1,"CEINS","2016-05-30",0
40194,1,"CEINS","2016-05-29",0
40193,1,"CEINS","2016-05-28",0
40192,1,"CEINS","2016-05-27",0
40191,1,"CEINS","2016-05-26",0
40190,1,"CEINS","2016-05-25",0
40189,1,"CEINS","2016-05-24",0
40188,1,"CEINS","2016-05-23",0
40187,1,"CEINS","2016-05-22",0
40186,1,"CEINS","2016-05-21",0
40185,1,"CEINS","2016-05-20",0
40184,1,"CEINS","2016-05-19",0
40183,1,"CEINS","2016-05-18",0
40182,1,"CEINS","2016-05-17",0
40181,1,"CEINS","2016-05-16",0
40180,1,"CEINS","2016-05-15",0
40179,1,"CEINS","2016-05-14",0
40178,1,"CEINS","2016-05-13",0
40177,1,"CEINS","2016-05-12",0
40176,1,"CEINS","2016-05-11",0
40175,1,"CEINS","2016-05-10",0
40174,1,"CEINS","2016-05-09",0
40173,1,"CEINS","2016-05-08",0
40172,1,"CEINS","2016-05-07",0
40171,1,"CEINS","2016-05-06",0
40170,1,"CEINS","2016-05-05",0
40169,1,"CEINS","2016-05-04",0
40168,1,"CEINS","2016-05-03",0
40167,1,"CEINS","2016-05-02",0
40166,1,"CEINS","2016-05-01",-2
40165,1,"CEINS","2016-04-30",0
40164,1,"CEINS","2016-04-29",0
40163,1,"CEINS","2016-04-28",0
40162,1,"CEINS","2016-04-27",0
40161,1,"CEINS","2016-04-26",0
40160,1,"CEINS","2016-04-25",0
40159,1,"CEINS","2016-04-24",0
40158,1,"CEINS","2016-04-23",0
40157,1,"CEINS","2016-04-22",0
40156,1,"CEINS","2016-04-21",0
40155,1,"CEINS","2016-04-20",0
40154,1,"CEINS","2016-04-19",0
40153,1,"CEINS","2016-04-18",0
40152,1,"CEINS","2016-04-17",0
40151,1,"CEINS","2016-04-16",0
40150,1,"CEINS","2016-04-15",0
40149,1,"CEINS","2016-04-14",0
40148,1,"CEINS","2016-04-13",0
40147,1,"CEINS","2016-04-12",0
40146,1,"CEINS","2016-04-11",0
40145,1,"CEINS","2016-04-10",0
40144,1,"CEINS","2016-04-09",0
40143,1,"CEINS","2016-04-08",0
40142,1,"CEINS","2016-04-07",0
40141,1,"CEINS","2016-04-06",0
40140,1,"CEINS","2016-04-05",0
40139,1,"CEINS","2016-04-04",0
40138,1,"CEINS","2016-04-03",0
40137,1,"CEINS","2016-04-02",0
40136,1,"CEINS","2016-04-01",0
40135,1,"CEINS","2016-03-31",0
40134,1,"CEINS","2016-03-30",0
40133,1,"CEINS","2016-03-29",0
40132,1,"CEINS","2016-03-28",0
40131,1,"CEINS","2016-03-27",-2
40130,1,"CEINS","2016-03-26",-2
40129,1,"CEINS","2016-03-25",-2
40128,1,"CEINS","2016-03-24",-2
40127,1,"CEINS","2016-03-23",-2
40126,1,"CEINS","2016-03-22",-2
40125,1,"CEINS","2016-03-21",-2
40124,1,"CEINS","2016-03-20",-2
40123,1,"CEINS","2016-03-19",-2
40122,1,"CEINS","2016-03-18",-2
40121,1,"CEINS","2016-03-17",0
40120,1,"CEINS","2016-03-16",0
40119,1,"CEINS","2016-03-15",0
40118,1,"CEINS","2016-03-14",0
40117,1,"CEINS","2016-03-13",0
40116,1,"CEINS","2016-03-12",0
40115,1,"CEINS","2016-03-11",0
40114,1,"CEINS","2016-03-10",0
40113,1,"CEINS","2016-03-09",0
40112,1,"CEINS","2016-03-08",0
40111,1,"CEINS","2016-03-07",0
40110,1,"CEINS","2016-03-06",0
40109,1,"CEINS","2016-03-05",0
40108,1,"CEINS","2016-03-04",0
40107,1,"CEINS","2016-03-03",0
40106,1,"CEINS","2016-03-02",0
40105,1,"CEINS","2016-03-01",0
40104,1,"CEINS","2016-02-29",0
40103,1,"CEINS","2016-02-28",0
40102,1,"CEINS","2016-02-27",0
